City,Pr/St,Cntry,lat,lng
Longueuil,QC,CA,45.513373,-73.430968
Winterthur,,CH,47.499169,8.72915
Laval,QC,CA,45.583734,-73.750071
Binscarth,MB,CA,50.626307,-101.28178
Battleford,SK,CA,52.736258,-108.318344
Kindersley,SK,CA,51.474937,-109.144815
Wilcox,SK,CA,50.097071,-104.725126
Rosenheim,,DE,47.853927,12.127262
Salmon Arm,BC,CA,50.700148,-119.28391
Kitchener,ON,CA,43.449787,-80.489089
Grand Rapids,MI,US,42.965446,-85.670209
Cherry Hill,NJ,US,39.925801,-75.030928
Lakeville,MN,US,44.655985,-93.242746
Warroad,MN,US,48.906708,-95.320123
Markham,ON,CA,43.873987,-79.259867
Halmstad,,SE,56.673983,12.857483
Stockholm,,SE,59.330761,18.06131
Vienna,,AT,48.192309,16.371364
Victoria,BC,CA,48.4275,-123.367259
Greenwich,CT,US,41.026526,-73.628549
Shaunavon,SK,CA,49.646149,-108.413841
Malmö,,SE,55.605293,13.000157
Moncton,NB,CA,46.088878,-64.775822
Savonlinna,,FI,62.011183,28.774486
Kalajoki,,FI,64.260017,23.950545
Lycksele,,SE,64.595862,18.677756
Merrimack,NH,US,42.866953,-71.495437
Baudette,MN,US,48.712482,-94.600115
West Vancouver,BC,CA,49.338206,-123.168017
East Lansing,MI,US,42.781472,-84.482761
Woodstock,ON,CA,43.130387,-80.754677
Milford,CT,US,41.224276,-73.057564
Dorval,QC,CA,45.450845,-73.75202
Hinsdale,IL,US,41.803685,-87.927236
Rodovre,,DK,55.68125,12.454729
Ottawa,ON,CA,45.420421,-75.692432
Vancouver,BC,CA,49.263566,-123.138572
Chicago,IL,US,41.883229,-87.632398
Sicamous,BC,CA,50.833984,-118.980842
Toronto,ON,CA,43.651893,-79.381713
Rancho Cucamonga,CA,US,34.106399,-117.575764
Newport News,VA,US,36.977714,-76.430349
San Francisco,CA,US,37.78008,-122.420168
Denver,CO,US,39.738453,-104.984853
Holliston,MA,US,42.20053,-71.42789
Flin Flon,MB,CA,54.767984,-101.864065
Bronxville,NY,US,40.936383,-73.831381
Lac-Beauport,QC,CA,46.947341,-71.295
Sauble Beach,ON,CA,44.6361,-81.2692
Brampton,ON,CA,43.68402,-79.759046
Uppsala,,SE,59.859413,17.64112
Dearborn Heights,MI,US,42.331748,-83.277557
Livonia,MI,US,42.39709,-83.36961
Gardena,CA,US,33.883764,-118.309144
Caledonia,ON,CA,43.066601,-79.949898
Evanston,IL,US,42.052157,-87.687867
Plantation,FL,US,26.128276,-80.242374
Brno,,CZ,49.192244,16.611338
Port Huron,MI,US,42.975041,-82.424522
Rumson,NJ,US,40.376192,-74.009949
Windsor,ON,CA,42.314081,-83.036857
Lethbridge,AB,CA,49.69458,-112.833808
Anahim Lake,BC,CA,52.449902,-125.300003
Chaska,MN,US,44.78933,-93.601848
Brantford,ON,CA,43.139405,-80.263646
Winnipeg,MB,CA,49.900496,-97.139309
Kelowna,BC,CA,49.883706,-119.493496
Härnösand,,SE,62.632308,17.937991
St. Catharines,ON,CA,43.159989,-79.247016
SANDY,UT,US,40.569705,-111.897282
Charlotte,NC,US,35.222936,-80.840161
Nassjo,,SE,57.653038,14.698155
Madison,WI,US,43.073926,-89.385244
Brooklyn,NY,US,40.692529,-73.990996
Moscow,,RU,55.751634,37.618704
Thunder Bay,ON,CA,48.38251,-89.245486
Natick,MA,US,42.283773,-71.347292
Blaine,MN,US,45.157648,-93.260944
Hull,QC,CA,45.428796,-75.71361
Burnsville,MN,US,44.762056,-93.275772
Mississauga,ON,CA,43.586162,-79.646215
Port Alberni,BC,CA,49.234672,-124.807591
Cobourg,ON,CA,43.959904,-78.165453
Klagenfurt,,AT,46.622816,14.30796
Abbotsford,BC,CA,49.102719,-122.354764
Golden,BC,CA,51.29615,-116.963048
Massena,NY,US,44.928021,-74.891824
Togliatti,,RU,53.514949,49.407573
Hilton Head Isl.,SC,US,32.215401,-80.747563
Campbell River,BC,CA,50.023179,-125.249537
Shelby Twp.,MI,US,42.662102,-82.993698
Excelsior,MN,US,44.90353,-93.566226
Staten Island,NY,US,40.643498,-74.076203
Sudbury,ON,CA,46.48952,-80.989155
Arvika,,SE,59.654356,12.591619
Anaheim,CA,US,33.834492,-117.915638
Repentigny,QC,CA,45.740435,-73.446064
Orillia,ON,CA,44.611477,-79.415624
Piikkio,,FI,60.429732,22.508859
New Haven,CT,US,41.308252,-72.924161
Farmingville,NY,US,40.83191,-73.03413
Oviedo,FL,US,28.67029,-81.208479
Turku,,FI,60.451753,22.267052
St. Louis,MO,US,38.630276,-90.200309
Loviisa,,FI,60.45623,26.226773
Bellmawr,NJ,US,39.866488,-75.079485
Morges,,CH,46.509327,6.498317
Grand Prairie,AB,CA,55.170755,-118.794778
Pickering,ON,CA,43.834365,-79.082022
Pisek,,CZ,49.308989,14.147769
Plano,TX,US,33.019695,-96.697586
Halifax,NS,CA,44.646244,-63.573566
Sternberk,,CZ,49.730712,17.298847
Sorel-Tracy,QC,CA,46.032813,-73.115752
Delta,BC,CA,49.090148,-123.062906
Karlstad,,SE,59.379914,13.502945
Smithtown,NY,US,40.85496,-73.197132
Landskrona,,SE,55.869801,12.829673
Oakville,ON,CA,43.466792,-79.690301
Cole Harbour,NS,CA,44.649811,-63.483389
Peterborough,ON,CA,44.305913,-78.320087
Kazan,,RU,55.760419,49.190294
Lantzville,BC,CA,49.252944,-124.08483
Trail,BC,CA,49.098617,-117.702387
Ivry-sur-Seine,,FRA,48.80781,2.37465
Gothenburg,,SE,57.706407,11.968629
Geneva,IL,US,41.887556,-88.305095
STILLWATER,MN,US,45.055745,-92.810143
Raahe,,FI,64.617397,24.260195
Lloydminster,SK,CA,53.277596,-110.00348
Arlington,TX,US,32.735594,-97.10711
Regina,SK,CA,50.451188,-104.616618
Haapavesi,,FI,64.137874,25.365818
Grosse Pointe,MI,US,42.386476,-82.910913
Riverside,CT,US,41.033877,-73.579464
Chur,,CH,46.855515,9.525407
Tarrytown,NY,US,41.076273,-73.858329
Pittsburgh,PA,US,40.442169,-79.994945
Eden Prairie,MN,US,44.854033,-93.46017
Sherbrooke,QC,CA,45.401394,-71.890346
Houston,TX,US,29.760803,-95.369506
Salem,NJ,US,39.571905,-75.467091
Jyväskylä,,FI,62.2393,25.745951
Cranbrook,BC,CA,49.517516,-115.760424
Cambridge,ON,CA,43.397792,-80.307223
Richmond,BC,CA,37.937865,-122.343146
London,ON,CA,42.984267,-81.247534
Sherwood Park,AB,CA,53.525524,-113.298263
Olten,,CH,47.350737,7.905319
Barrie,ON,CA,44.38934,-79.685418
Winkler,MB,CA,49.181712,-97.942003
Hodonin,,CZ,48.849203,17.132403
Glace Bay,NS,CA,46.200001,-59.966599
Fort Lauderdale,FL,US,26.124163,-80.143586
St. Petersburg,,RU,59.939366,30.315363
Pontiac,MI,US,42.638782,-83.292696
Cornwall,ON,CA,45.018258,-74.728577
Hamilton,ON,CA,43.256503,-79.874423
Montreal,QC,CA,45.509062,-73.553363
Minnetonka,MN,US,44.938058,-93.466322
Trebic,,CZ,49.215191,15.881609
Dubuque,IA,US,42.505512,-90.667314
Quebec City,QC,CA,46.814184,-71.207425
Meadow Lake,SK,CA,54.133234,-108.427938
Muskegon,MI,US,43.234221,-86.246388
Calgary,AB,CA,51.046362,-114.05803
Perth,ON,CA,44.897196,-76.246207
Gävle,,SE,60.675013,17.146702
Stratford,ON,CA,43.372968,-80.97509
Northbrook,IL,US,42.130979,-87.831558
Pori,,FI,61.565987,21.480409
Magnitogorsk,,RU,53.424281,58.983333
Wisconsin Rapids,WI,US,44.395526,-89.834513
Lewisville,TX,US,33.046344,-96.994166
Indianapolis,IN,US,39.76845,-86.156212
Norrtälje,,SE,59.759174,18.703748
St. Paul,AB,CA,53.991359,-111.299712
E. Weymouth,MA,US,42.213902,-70.920799
Vitkov,,CZ,49.77472,17.749372
Hartford,CT,US,41.765775,-72.673356
South St. Paul,MN,US,44.89068,-93.037253
Berlin,,DE,52.517037,13.38886
Grand Forks,ND,US,47.925705,-97.036068
Wawota,SK,CA,49.903993,-102.023099
Aurora,ON,CA,43.999663,-79.467562
Consort,AB,CA,52.011086,-110.766687
Albany,NY,US,42.651242,-73.755418
Rochester Hills,MI,US,42.652398,-83.132561
Kamloops,BC,CA,50.67661,-120.339023
Red Deer,AB,CA,52.269001,-113.809013
Provost,AB,CA,52.354025,-110.268776
Holland Landing,ON,CA,44.0975,-79.4889
East Longmeadow,MA,US,42.064635,-72.512851
Maple Ridge,BC,CA,49.187417,-122.56771
Nousiainen,,FI,60.600844,22.081909
King City,ON,CA,43.9333,-79.533302
Hingham,MA,US,42.241794,-70.890006
Penza,,RU,53.2,45
Hastings,MN,US,44.74229,-92.852565
Marblehead,MA,US,42.495748,-70.863318
Oulunsalo,,FI,64.933339,25.416667
Praha,,CZ,50.08744,14.421256
Sun Prairie,WI,US,43.183305,-89.213637
St-Hyacinthe,QC,CA,45.626452,-72.947515
Tyumen,,RU,57.153534,65.542276
North Bay,ON,CA,46.309464,-79.46163
Prague,,CZ,50.08744,14.421256
Toijala,,FI,61.168006,23.868675
Jihlava,,CZ,49.396064,15.590307
Forssa,,FI,60.816763,23.632918
Molnlycke,,SE,57.658361,12.113576
Raleigh,NC,US,35.781295,-78.64167
St. Agapit,QC,CA,46.562098,-71.433415
New Canaan,CT,US,41.148498,-73.493705
Dauphin,MB,CA,51.149671,-100.049906
Duluth,MN,US,46.782882,-92.105457
Roberval,QC,CA,48.517817,-72.225065
Everett,MA,US,42.408497,-71.054178
Ste-Agathe-Des-Monts,QC,CA,46.046659,-74.285265
Keswick,ON,CA,48.481266,-89.323622
Gaspe,QC,CA,48.830067,-64.481774
Shawinigan,QC,CA,46.541396,-72.74613
Kansas City,MO,US,39.099792,-94.578559
Nynashamn,,SE,58.905646,17.947099
Bojnice,,SK,51.997946,-106.253957
Huntsville,AL,US,34.577718,-86.835836
Ostervala,,SE,60.180933,17.178084
Kingsford,MI,US,45.796996,-88.071633
Oklahoma City,OK,US,35.468494,-97.521264
North Chelmsford,MA,US,42.638901,-71.383301
Minneapolis,MN,US,44.977479,-93.264346
CAton,NY,US,42.056704,-77.028572
Grimsby,ON,CA,43.194186,-79.562381
Chelyabinsk,,RU,55.159841,61.402555
Island Park,NY,US,40.601336,-73.655878
Chatham,ON,CA,42.400002,-82.183296
Bolton,CT,US,41.770886,-72.443722
Landshut,,DE,38.994926,-75.452394
Lempaala,,FI,61.316667,23.75
Maplewood,MN,US,45.006411,-93.025193
Ellwood City,PA,US,40.850506,-80.285069
West Seneca,NY,US,42.843272,-78.790813
Helsingborg,,SE,56.044198,12.704068
Kadan,,CZ,50.376199,13.271036
New Rochelle,NY,US,40.911546,-73.782337
Brandon,MB,CA,49.846927,-99.952808
Pembroke Pines,FL,US,26.006156,-80.279747
Melville,SK,CA,50.932164,-102.80342
Dorchester,MA,US,42.297199,-71.074997
Bromont,QC,CA,45.319448,-72.651433
Los Angeles,CA,US,34.052238,-118.243344
Surrey,BC,CA,49.104508,-122.823486
Charlottetown,PE,CA,46.235419,-63.126521
Bowmanville,ON,CA,43.899899,-78.683296
Marshfield,MA,US,42.091912,-70.710266
Guelph,ON,CA,43.544774,-80.248091
Helsinki,,FI,60.166628,24.943508
Ithaca,NY,US,42.422372,-76.461572
Boden,,SE,65.827002,21.693002
Scottsdale,AZ,US,33.494909,-111.926061
Traverse City,MI,US,44.759092,-85.605469
Fergus,ON,CA,43.699902,-80.3666
Boston,MA,US,42.358894,-71.056742
Novokuznetsk,,RU,53.757608,87.136098
Saskatoon,SK,CA,52.130039,-106.661385
St. Albert,AB,CA,53.63702,-113.620071
Nordingra,,SE,62.929309,18.294118
Sterling Heights,MI,US,42.58968,-83.011059
Orland Park,IL,US,41.623192,-87.851282
Alma,QC,CA,48.544968,-71.659517
Detroit,MI,US,42.332916,-83.047853
Eau Claire,WI,US,44.812135,-91.49917
Eisenstadt,,AT,47.84621,16.523759
Pelhrimov,,CZ,49.431715,15.223372
Syracuse,NY,US,43.047945,-76.147448
Winchester,ON,CA,45.073579,-75.448963
Morristown,NJ,US,40.79664,-74.481595
North York,ON,CA,43.769002,-79.416629
Stouffville,ON,CA,43.966599,-79.25
Georgetown,ON,CA,43.649899,-79.933296
Clinton,ON,CA,43.599998,-81.533302
Ann Arbor,MI,US,42.281419,-83.748478
Swan River,MB,CA,52.105816,-101.266099
Sewell,NJ,US,39.766399,-75.144699
Plover,WI,US,44.464523,-89.544506
St. Paul,MN,US,44.943719,-93.094281
Kennebunkport,ME,US,43.360884,-70.474104
Buffalo,NY,US,42.887691,-78.879374
Vantaa,,FI,60.309187,25.036453
Thornhill,ON,CA,43.799999,-79.416603
Kladno,,CZ,50.14785,14.102538
Everett,WA,US,47.97913,-122.195893
Alfred,ON,CA,45.557705,-74.883426
Hopkins,MN,US,44.924392,-93.413946
Miramichi,NB,CA,47.02791,-65.469485
Karlskrona,,SE,56.162107,15.586642
San Ramon,CA,US,37.764907,-121.951061
Ajax,ON,CA,43.851592,-79.02153
Biddeford,ME,US,43.482944,-70.471358
Martin,,SK,52.289455,-106.668424
Winnetka,IL,US,42.107106,-87.734719
Innisfil,ON,CA,44.310395,-79.626126
Smithers,BC,CA,54.782251,-127.181583
Elkhorn,MB,CA,36.807662,-121.715768
Chesterfield,MO,US,38.661405,-90.564272
Davidson,SK,CA,51.265999,-105.997768
Scarborough,ON,CA,43.783298,-79.25
Greenfield Park,QC,CA,45.5,-73.483299
St. Andrews,MB,CA,50.07114,-96.98499
Anchorage,AK,US,61.216583,-149.899597
Holland,MI,US,42.751561,-86.096297
Grand Rapids,MN,US,47.231455,-93.526879
Paris,ON,CA,43.200001,-80.383301
Pardubice,,CZ,50.041019,15.776541
North Vancouver,BC,CA,49.305438,-123.018909
Ilava,,SK,51.997946,-106.253957
Concord,NH,US,43.208452,-71.536941
Laurier-Station,QC,CA,46.539184,-71.631967
Charlestown,MA,US,42.3778,-71.0625
Rimouski,QC,CA,48.448891,-68.52403
Lau,,SE,58.070025,12.586496
Munich,,DE,48.13641,11.57753
Rochester,MI,US,42.682057,-83.133822
Fribourg,,CH,46.803004,7.151289
Grande Prairie,AB,CA,55.170755,-118.794778
Sault Ste. Marie,ON,CA,46.511291,-84.335157
Boxford,MA,US,42.658945,-71.000636
Carp,ON,CA,45.349899,-76.033302
Taber,AB,CA,49.79387,-112.136184
Rochester,NY,US,43.155708,-77.612547
Woodbridge,ON,CA,43.783298,-79.599998
Ilderton,ON,CA,43.079269,-81.381775
Chambersburg,PA,US,39.937306,-77.659708
Frydek-Mistek,,CZ,49.685635,18.348342
Oulu,,FI,65.011873,25.471681
South St.Paul,MN,US,44.89068,-93.037253
Edina,MN,US,44.910489,-93.348666
Milwaukee,WI,US,43.041072,-87.909421
Sollentuna,,SE,59.446359,17.94003
Huntington,NY,US,40.87121,-73.426299
Montmagny,QC,CA,46.982733,-70.556843
Petawawa,ON,CA,45.892022,-77.271741
Roseau,MN,US,48.84524,-95.764471
De Pere,WI,US,44.44754,-88.070584
Pointe-Claire,QC,CA,45.456818,-73.828768
Nizhnekamsk,,RU,55.641288,51.816038
Västerås,,SE,59.6111,16.546365
Omaha,NE,US,41.258652,-95.937195
Carlyle,SK,CA,49.633974,-102.266918
Saint-Narcisse,QC,CA,46.564492,-72.472135
Estevan,SK,CA,49.146779,-102.99149
Maple Creek,SK,CA,40.762501,-123.868103
Ceské Budejovice,,CZ,48.974736,14.474285
Phoenix,AZ,US,33.448204,-112.072585
Abington,PA,US,40.115354,-75.116999
Kromeriz,,CZ,49.298419,17.39298
Korkino,,RU,54.889923,61.407963
Walpole,MA,US,42.144777,-71.253786
Plzen,,CZ,49.747742,13.377525
Aalborg,,DK,57.04821,9.919663
New Lenox,IL,US,41.512186,-87.965824
Brondby,,DK,55.644111,12.421714
Kauniainen,,FI,60.214741,24.713529
Virginia,MN,US,47.523153,-92.538658
Fort McMurray,AB,CA,56.733299,-111.383301
Tampere,,FI,61.498021,23.760312
Cologne,,DE,50.938361,6.959974
Plymouth,MN,US,45.018311,-93.473853
Borlange,,SE,60.485643,15.423456
Ust-Kamenogorsk,,KAZ,49.95752,82.5903
Kingsville,ON,CA,42.038868,-82.740977
Prince George,BC,CA,53.91258,-122.747773
Langley,BC,CA,49.167503,-122.468357
Herning,,DK,56.136862,8.975335
Eden,NY,US,42.652413,-78.896936
Mequon,WI,US,43.221598,-88.014829
Burnaby,BC,CA,49.243163,-122.97418
Snowflake,MB,CA,49.0475,-98.6592
Hermantown,MN,US,46.778627,-92.180035
Chomutov,,CZ,50.460742,13.417722
Ozieri,,IT,40.585962,9.001224
Burlington,ON,CA,43.325991,-79.798296
Sundbyberg,,SE,59.378428,17.954984
St. Hyacinthe,QC,CA,45.626452,-72.947515
Hancock,MI,US,47.130692,-88.591217
Haliburton,ON,CA,45.049134,-78.507064
St. Cloud,MN,US,45.569048,-94.115542
Johnston,RI,US,41.829855,-71.500696
Brig,,CH,46.316346,7.987947
White Rock,BC,CA,49.023879,-122.80121
Volketswil,,CH,47.389314,8.690813
Ham Lake,MN,US,45.257006,-93.204099
CAton,MA,US,41.682582,-69.961704
Yaroslavl,,RU,57.626388,39.893371
San Diego,CA,US,32.71576,-117.163817
Drummondville,QC,CA,45.881121,-72.484704
Farmington Hills,MI,US,42.485645,-83.357869
Brockville,ON,CA,44.58958,-75.684303
Newmarket,ON,CA,44.060338,-79.45584
Wallaceburg,ON,CA,42.583302,-82.3666
Pincourt,QC,CA,45.380868,-73.991276
Nizhny Tagil,,RU,57.905149,59.950847
Villach,,AT,46.616728,13.850027
LaSalle,QC,CA,45.416599,-73.649902
Long Beach,NY,US,40.589406,-73.665937
Pilsen,,CZ,49.747742,13.377525
Viking,AB,CA,53.090941,-111.770236
Middletown,NJ,US,40.394098,-74.117227
Schwenningen,,DE,38.994926,-75.452394
Ostrava,,CZ,49.834914,18.282008
Skellefteå,,SE,64.752019,20.959339
St. Clair,MI,US,42.820979,-82.486312
Mimico,ON,CA,43.61302,-79.49301
Bonney Lake,WA,US,47.191959,-122.180652
Bloomington,MN,US,44.826255,-93.303856
St. Thomas,ON,CA,42.775142,-81.185978
Havirov,,CZ,49.780114,18.436845
Oxford,MI,US,42.824749,-83.264049
Elk Point,AB,CA,53.896957,-110.8963
Mlada Boleslav,,CZ,50.411619,14.90313
Rauma,,FI,61.128915,21.50394
Coquitlam,BC,CA,49.285055,-122.794595
Columbus,OH,US,39.962649,-82.996216
Katrineholm,,SE,58.995944,16.205824
Narva,,EST,59.376692,28.192106
Richmond Hill,ON,CA,43.875871,-79.438267
Amos,QC,CA,48.57191,-78.115982
Medicine Hat,AB,CA,50.041411,-110.677007
Vihti,,FI,60.41688,24.320558
Commerce,MI,US,42.590972,-83.490865
Comox,BC,CA,49.675783,-124.935164
Ústí nad Labem,,CZ,50.668432,14.04088
Karkkila,,FI,60.53438,24.214529
Moravska Trebova,,CZ,49.758198,16.664213
Bratislava,,SK,48.065466,17.113207
Bulach,,CH,47.52018,8.541784
Sarnia,ON,CA,42.912551,-82.455641
Hearst,ON,CA,49.68661,-83.662976
Jesenice,,SVN,46.434391,14.057014
Samara,,RU,53.198476,50.114242
Torrance,CA,US,33.836318,-118.340038
Park Ridge,IL,US,42.011007,-87.835869
Palos,IL,US,41.703762,-87.831846
Smogen,,SE,58.353852,11.225752
Sorel,QC,CA,46.032813,-73.115752
Tibro,,SE,58.424891,14.163119
Cardiff,,GB,51.48353,-3.183687
Fullerton,CA,US,33.870345,-117.924302
Salt Lake City,UT,US,40.758478,-111.888142
Skokie,IL,US,42.026307,-87.754692
Welland,ON,CA,42.993507,-79.228177
Braintree,MA,US,42.207125,-71.004215
Nove Mesto na Morave,,CZ,49.561692,16.074419
Prince Albert,SK,CA,53.199465,-105.762304
Warren,MI,US,42.52144,-83.020184
Waterford,MI,US,42.659169,-83.383103
Massapequa,NY,US,40.675899,-73.474602
St. Gallen,,CH,47.425059,9.376588
Orangeville,ON,CA,43.919238,-80.097414
Alton,IL,US,38.903341,-90.149352
Rødovre,,DK,55.68125,12.454729
Plymouth,,GB,50.371266,-4.142566
Saint-Augustin,QC,CA,48.806958,-71.955224
Elk River,MN,US,45.307777,-93.57741
Rochester,NH,US,43.303835,-70.975677
Colorado Springs,CO,US,38.835224,-104.819798
Guildford,,GB,51.235267,-0.565362
Písek,,CZ,49.308989,14.147769
Kuopio,,FI,62.89246,27.678184
Whitby,ON,CA,43.879841,-78.942207
Kramfors,,SE,62.930612,17.78399
Lipetsk,,RU,52.599849,39.578231
Strathroy,ON,CA,42.969695,-81.618343
Spokane,WA,US,47.658999,-117.425022
Kingston,ON,CA,44.230468,-76.481187
Milford,MI,US,42.591801,-83.595845
Huddinge,,SE,59.253224,17.985091
Njurunda,,SE,62.262781,17.382752
Airdrie,AB,CA,51.292641,-114.008863
East Palestine,OH,US,40.832654,-80.539842
Etobicoke,ON,CA,43.643244,-79.566155
Carmel,IN,US,39.978386,-86.127067
Kempele,,FI,64.91245,25.510822
Victoriaville,QC,CA,46.058727,-71.96942
Fredericton,NB,CA,45.959225,-66.640351
Bern,,CH,46.948276,7.451501
Morweena,MB,CA,50.99404,-97.40668
Yuzhno-Sakhalinsk,,RU,46.957427,142.727438
Trenton,MI,US,42.141304,-83.190407
New Westminster,BC,CA,49.219593,-122.908372
Zurich,,CH,47.368559,8.540443
Joliette,QC,CA,46.023179,-73.442526
Listowel,ON,CA,43.733299,-80.966599
Boca Raton,FL,US,26.35052,-80.089831
Herisau,,CH,47.38555,9.278757
Maykop,,RU,44.60627,40.104318
Dublin,OH,US,40.099562,-83.113812
Saint-Jerome,QC,CA,45.777679,-74.004023
Cherepovets,,RU,59.128697,37.916389
Sainte-Marie,QC,CA,46.434134,-71.011438
Lansing,MI,US,42.733625,-84.553927
Long Beach,CA,US,33.767168,-118.193723
Leksand,,SE,60.732903,14.996821
Edmonton,AB,CA,53.546135,-113.491213
Niagara Falls,NY,US,43.094464,-79.056432
Orsk,,RU,51.230502,58.473802
Wheaton,IL,US,41.866128,-88.106633
Belleville,ON,CA,44.164013,-77.382466
Marsta,,SE,59.625238,17.851567
Omsk,,RU,54.991375,73.371488
Dorchester,ON,CA,42.988604,-81.058873
Mt. Brydges,ON,CA,42.91,-81.496399
Amsterdam,,NLD,52.371009,4.900112
Caroline,AB,CA,52.093598,-114.741937
Newport Beach,CA,US,33.615967,-117.930378
Tonka Bay,MN,US,44.91802,-93.587745
Winchester,MA,US,42.453158,-71.133759
Ancienne-Lorette,QC,CA,46.80241,-71.36095
Kosice,,SK,48.67613,21.28394
Riga,,LV,57.03816,24.06998
Aneroid,SK,CA,49.65461,-107.31422
Vaxjo,,SE,56.92424,14.7332
Ornskoldsvik,,SE,63.29071,18.7156
Ayr,ON,CA,43.36792,-79.76547
Trencin,,SK,48.90253,18.09052
Norrkoping,,SE,58.58282,16.23408
Zilina,,SK,49.17754,19.19136
Alvkarleby,,SE,60.57085,17.44843
Ville Degelis,QC,CA,47.547063,-68.642984
Garden River First Nations,ON,CA,46.56078,-84.23489
Ostersund,,SE,63.17916,14.63566
Boras,,SE,57.12216,12.87264
Ste-Agathe,QC,CA,46.24152,-74.08475
Judique,NS,CA,45.94364,-61.3912
Oslo,,NO,59.89485,10.68979
Zhukovskiy,,RU,55.8476,38.41255
Ile Bizard,QC,CA,45.5201,-73.86915
Sodertalje,,SE,59.15784,17.64598
Eksjo,,SE,58.89119,17.83509
Le Blanc-Mesnil,,FR,48.94934,2.45157
Ivry-sur-Seine,,FR,48.80781,2.37465
Cadca,,SK,43.32058,-3.02427
Roubaix,,FR,48.39679,-4.4961
Umea,,SE,63.89795,19.90231
Linkoping,,SE,58.41374,15.62351
Vasteras,,SE,59.61648,16.55136
Ljunby,,SE,65.43916,18.44356
Southampton,NJ,US,39.8484,-74.674103
Orebro,,SE,59.38738,15.04728
Nizhnekamsk,,RO,55.63313,51.80914
Bayonne,,FR,44.98042,4.02925
Bærum,,NO,59.89025,10.5255
Cap-Rouge,QC,CA,47.41176,-61.80133
Landsbro,,SE,57.19266,15.15598
St. Malo,MB,CA,49.3138,-96.95277
Banská Bystrica,,SK,48.66863,19.12144
Lulea,,SE,65.58416,22.15475
Ruse,,BG,43.60164,26.23825
Are,,SE,63.399183,13.081058
Fussen,,DE,47.570921,10.697709
Lugnvik,,SE,62.9145,15.61837